shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
TPUJ_4A_BP05,13.770881,121.065435,205
TPUJ_4A_BP05,13.7708,121.065391,206
TPUJ_4A_BP05,13.770471,121.065216,207
TPUJ_4A_BP05,13.770412,121.065179,208
TPUJ_4A_BP05,13.77025,121.065085,209
TPUJ_4A_BP05,13.769725,121.064797,210
TPUJ_4A_BP05,13.769528,121.064685,211
TPUJ_4A_BP05,13.769316,121.064548,212
TPUJ_4A_BP05,13.768977,121.064323,213
TPUJ_4A_BP05,13.76869,121.064143,214
TPUJ_4A_BP05,13.768646,121.064112,215
TPUJ_4A_BP05,13.768451,121.063973,216
TPUJ_4A_BP05,13.76821,121.063804,217
TPUJ_4A_BP05,13.767986,121.06364,218
TPUJ_4A_BP05,13.767853,121.063542,219
TPUJ_4A_BP05,13.767714,121.063408,220
TPUJ_4A_BP05,13.767621,121.063325,221
TPUJ_4A_BP05,13.767477,121.063204,222
TPUJ_4A_BP05,13.767327,121.063078,223
TPUJ_4A_BP05,13.767106,121.062896,224
TPUJ_4A_BP05,13.766832,121.062635,225
TPUJ_4A_BP05,13.76679,121.062593,226
TPUJ_4A_BP05,13.766762,121.062563,227
TPUJ_4A_BP05,13.766723,121.062519,228
TPUJ_4A_BP05,13.766681,121.062477,229
TPUJ_4A_BP05,13.766659,121.062456,230
TPUJ_4A_BP05,13.766536,121.062332,231
TPUJ_4A_BP05,13.76637,121.062167,232
TPUJ_4A_BP05,13.766189,121.061986,233
TPUJ_4A_BP05,13.766089,121.061876,234
TPUJ_4A_BP05,13.765754,121.061532,235
TPUJ_4A_BP05,13.765563,121.061329,236
TPUJ_4A_BP05,13.765479,121.06122,237
TPUJ_4A_BP05,13.765409,121.061118,238
TPUJ_4A_BP05,13.765166,121.060715,239
TPUJ_4A_BP05,13.764961,121.060372,240
TPUJ_4A_BP05,13.76486,121.060206,241
TPUJ_4A_BP05,13.764778,121.060079,242
TPUJ_4A_BP05,13.76467,121.059893,243
TPUJ_4A_BP05,13.764378,121.059389,244
TPUJ_4A_BP05,13.764191,121.059098,245
TPUJ_4A_BP05,13.764043,121.05884,246
TPUJ_4A_BP05,13.763954,121.05873,247
TPUJ_4A_BP05,13.763871,121.058615,248
TPUJ_4A_BP05,13.763781,121.058494,249
TPUJ_4A_BP05,13.763665,121.058338,250
TPUJ_4A_BP05,13.763559,121.058217,251
TPUJ_4A_BP05,13.763452,121.058114,252
TPUJ_4A_BP05,13.763345,121.058016,253
TPUJ_4A_BP05,13.763256,121.057943,254
TPUJ_4A_BP05,13.763179,121.057881,255
TPUJ_4A_BP05,13.763006,121.057763,256
TPUJ_4A_BP05,13.762945,121.057715,257
TPUJ_4A_BP05,13.762928,121.057702,258
TPUJ_4A_BP05,13.762882,121.057672,259
TPUJ_4A_BP05,13.762838,121.057643,260
TPUJ_4A_BP05,13.762642,121.057501,261
TPUJ_4A_BP05,13.762582,121.057457,262
TPUJ_4A_BP05,13.762266,121.057245,263
TPUJ_4A_BP05,13.762154,121.057137,264
TPUJ_4A_BP05,13.761692,121.057233,265
TPUJ_4A_BP05,13.761429,121.05729,266
TPUJ_4A_BP05,13.761206,121.057338,267
TPUJ_4A_BP05,13.76118,121.057343,268
TPUJ_4A_BP05,13.760732,121.05744,269
TPUJ_4A_BP05,13.760441,121.057507,270
TPUJ_4A_BP05,13.760248,121.057546,271
TPUJ_4A_BP05,13.760204,121.057556,272
TPUJ_4A_BP05,13.760151,121.057569,273
TPUJ_4A_BP05,13.759991,121.057605,274
TPUJ_4A_BP05,13.759811,121.057646,275
TPUJ_4A_BP05,13.759706,121.05767,276
TPUJ_4A_BP05,13.759406,121.057739,277
TPUJ_4A_BP05,13.759387,121.057743,278
